"Payment Status: Cancelled.","Payment Status: Cancelled."
"Initiated payment process.","Initiated payment process."
"Processing Mollie response...","Processing Mollie response..."
"Payment Status: Success.","Payment Status: Success."
"Payment Status: Pending Payment.","Payment Status: Pending Payment."
"Payment Status: Failed.","Payment Status: Failed."
"Order %1","Order %1"
"Mollie Error: %1","Mollie Error: %1"
"Payment request failed. Please contact the merchant.","Payment request failed. Please contact the merchant."
"Invoice created.","Invoice created."
"Payment already processed.","Payment already processed."
"Order not found.","Order not found."
"Payment failed. Please try again.","Payment failed. Please try again."
"Issuer","Issuer"
"Test API Key","Test API Key"
"Live API Key","Live API Key"
"Test Mode","Test Mode"
"Create Invoice","Create Invoice"
"Use Base Currency","Use Base Currency"
"Disable to use currency from user session.","Disable to use currency from user session."