"Payment Status: Cancelled.","Betaalstatus: geannulleerd."
"Initiated payment process.","Betaalproces gestart."
"Processing Mollie response...","Verwerken Mollie reactie..."
"Payment Status: Success.","Betaalstatus: succes."
"Payment Status: Pending Payment.","Betaalstatus: in afwachting."
"Payment Status: Failed.","Betaalstatus: mislukt."
"Order %1","Bestelling %1"
"Mollie Error: %1","Mollie error: %1"
"Payment request failed. Please contact the merchant.","Betaling mislukt. Contacteer a.u.b. de winkelier."
"Invoice created.","Factuur aangemaakt."
"Payment already processed.","Betaling reeds verwerkt."
"Order not found.","Bestelling niet gevonden."
"Payment failed. Please try again.","Betaling mislukt. Probeer opnieuw."
"Issuer","Bank"
"Test API Key","Test API sleutel"
"Live API Key","Live API sleutel"
"Test Mode","Testmodus"
"Create Invoice","Factuur aanmaken"
"Use Base Currency","Gebruik basisvaluta"
"Disable to use currency from user session.","Uitschakelen om valuta van de gebruikersessie te gebruiken."